"PTS","MP","FG","X3P","FT","FT.","Age","FG.","AST","Pos1"
10.6,30.4,3.4,1.2,2.6,0.812,22,0.359,4.6,"SG"
6.6,17.4,2.5,0.8,0.7,0.852,29,0.4,1.2,"SG"
4.9,14.8,1.8,0.7,0.6,0.8,21,0.355,1,"SF"
14,31.2,5.3,0.9,2.4,0.837,27,0.457,1.7,"PF"
9.2,21.3,3.5,0.9,1.4,0.624,19,0.449,0.7,"PF"
8.7,15.7,3,1.3,1.5,0.876,29,0.445,0.8,"C"
1.9,8.1,0.8,0,0.4,0.421,24,0.533,0.5,"C"
11.2,30.2,3.9,1.6,1.7,0.873,30,0.422,1.4,"PF"
10.4,26.5,4.1,0,2.1,0.58,26,0.536,3.5,"C"
7.1,24,2.5,1.2,0.9,0.787,36,0.391,2.6,"SF"
7.6,26.1,2.7,1,1.1,0.854,26,0.39,4.7,"PG"
10,28.9,4.1,0.9,1,0.621,23,0.503,1.1,"SF"
3.1,10.3,1.2,0,0.6,0.731,24,0.453,0.3,"PF"
2.3,6.4,0.8,0.4,0.4,0.625,37,0.279,0.4,"SF"
5.4,16.5,2,1,0.5,0.875,24,0.386,1,"PF"
9.4,16.7,3.9,0.3,1.4,0.743,28,0.532,0.9,"PF"
6.6,18.8,2.5,0.3,1.3,0.753,25,0.366,2.5,"PG"
0.4,3.6,0.1,0,0.2,1,24,0.1,0.2,"SG"
9.2,29,3.6,0,1.9,0.784,23,0.477,1.4,"SF"
20.5,33.2,6.7,2.5,4.6,0.859,29,0.46,6.3,"PG"
5.2,15.9,1.8,1,0.7,0.8,36,0.423,0.9,"SF"
1.4,7.6,0.5,0.4,0.1,1,36,0.391,1.1,"SF"
6.2,17.7,2.4,0.7,0.7,0.766,25,0.504,1.4,"C"
2.5,10.8,0.9,0.2,0.4,0.875,28,0.288,0.9,"PF"
2.5,10.8,1,0,0.6,0.641,28,0.478,0.5,"C"
6.3,14.9,2.3,0.8,0.8,0.809,27,0.428,1,"SF"
6.4,16.2,2.2,1.5,0.5,0.778,31,0.373,0.7,"PF"
8.5,27,3.3,0.6,1.3,0.727,31,0.443,3.2,"SG"
9.1,18.3,3.9,0,1.3,0.628,23,0.652,1.1,"C"
14.5,31.4,5.5,0.5,3,0.809,20,0.511,1.3,"C"
6.2,18.3,2.3,0.9,0.7,0.738,28,0.424,1.2,"PF"
8.7,20.5,3.6,0,1.5,0.694,22,0.595,1,"C"
1.7,6.4,0.7,0,0.3,0.625,36,0.609,0.6,"PF"
13.2,25.9,4.5,2.8,1.3,0.856,31,0.43,1,"SG"
15.1,34,5.1,1.8,3.2,0.856,28,0.403,5.9,"SG"
2.8,9.6,1,0.5,0.3,0.773,23,0.369,0.9,"SG"
9.5,27.4,3.1,1.7,1.5,0.813,23,0.396,2.4,"SG"
16.7,27.9,6.8,0.6,2.6,0.825,21,0.578,4.9,"C"
10.6,24,3.7,1.8,1.4,0.773,25,0.413,1.1,"PF"
14.6,28.8,6.4,0.3,1.4,0.669,26,0.468,2.8,"C"
4.4,17.1,1.8,0.1,0.8,0.638,21,0.481,0.4,"PF"
8.4,18,3,0.7,1.7,0.792,23,0.449,1.1,"SG"
2.7,15.5,1,0,0.7,0.59,30,0.477,0.5,"C"
5.2,17.9,2.1,0.4,0.5,0.586,28,0.47,1,"PF"
13.4,32.6,5.2,1.9,1.2,0.832,23,0.516,1.5,"SF"
6.7,27.6,2.5,0.9,0.9,0.774,31,0.413,1.2,"SF"
4.2,15.6,1.9,0,0.4,0.688,22,0.502,0.3,"PF"
2.5,8.1,0.9,0.4,0.2,0.778,24,0.514,0.7,"SG"
9.5,30.7,3.4,1.6,1.1,0.768,28,0.42,4.2,"SG"
4,15.1,1.5,0.6,0.4,0.784,21,0.433,1.1,"SG"
6.8,24.6,2.4,1.4,0.7,0.717,27,0.401,1.2,"PF"
9.5,21.9,3.4,1.8,0.8,0.825,28,0.44,3.5,"PG"
12.4,25.4,4.7,0.9,2,0.707,36,0.502,2.3,"C"
23.7,35.9,8.3,2.6,4.5,0.898,26,0.461,3.3,"SF"
18.1,34,6.2,1.1,4.5,0.768,31,0.442,3.7,"PF"
3.2,11.1,1.1,0.6,0.4,0.769,39,0.4,0.4,"SF"
5.5,19.2,2,0.8,0.7,0.775,22,0.398,0.8,"SF"
4.4,10.5,1.6,0.4,0.8,0.857,25,0.333,2.4,"PG"
5.8,14.7,1.8,1,1.2,0.75,26,0.412,0.5,"PF"
7.8,26.7,3.3,0.7,0.4,0.6,30,0.408,6.7,"PG"
2,7.6,0.7,0,0.7,0.724,25,0.442,0.1,"PF"
6.2,16.2,2,0.4,1.8,0.771,30,0.38,2.6,"PG"
5.2,18.6,1.7,1,0.8,0.857,33,0.363,2,"SG"
3.5,11.2,1.4,0.6,0,0.4,20,0.365,0.6,"SG"
2.5,8.7,1,0.3,0.2,0.889,24,0.451,0.9,"PG"
6.7,21.3,2.8,0.6,0.6,0.781,32,0.43,2.4,"PG"
4.5,15.1,1.7,0.9,0.2,0.714,25,0.422,0.9,"SF"
14.5,27.4,5.5,1.3,2.3,0.868,26,0.419,5.2,"PG"
5.7,20.4,1.9,0.8,1,0.741,36,0.446,1,"SF"
9.8,20.9,4,0.5,1.3,0.699,23,0.558,1,"C"
11.1,32.9,3.5,0.8,3.4,0.891,26,0.402,9.1,"PG"
12.9,31.6,4.4,2,2.1,0.822,26,0.399,1.5,"SF"
10.4,28,4.7,0,0.9,0.721,28,0.493,1,"C"
12.7,27,4.6,1.9,1.5,0.783,24,0.408,1.6,"SG"
6.4,25.2,2.4,0.9,0.6,0.62,25,0.413,1.6,"SG"
7.2,17.8,2.3,0.5,2.1,0.748,30,0.373,2.2,"PG"
4.1,16.5,1.6,0.4,0.5,0.651,23,0.378,2.1,"SG"
8.7,22.6,3,0.2,2.4,0.751,22,0.434,2,"SF"
4.6,14.2,1.7,0,1.3,0.813,30,0.544,0.4,"C"
18.7,33.8,6.7,1.4,3.9,0.855,30,0.455,2.8,"SF"
14,33.9,5.1,0,3.8,0.653,24,0.661,1.2,"C"
31.6,34.6,10.2,2.5,8.8,0.845,28,0.425,10.4,"PG"
13.6,29.4,4.5,2.8,1.8,0.86,28,0.418,0.9,"PF"
1.6,6.9,0.5,0.3,0.3,0.833,25,0.286,0.5,"PF"
2.9,12.4,1.2,0,0.5,0.59,30,0.642,0.2,"C"
6.5,18.4,2.6,0.8,0.5,0.559,22,0.473,1,"PF"
3,9.7,1,0.5,0.4,0.708,32,0.309,1.2,"SG"
13.1,25.1,4.4,1.5,2.9,0.843,27,0.415,2.2,"SG"
2.9,15.2,1.2,0.2,0.3,0.548,24,0.345,2,"PG"
14.8,30.7,6,1.6,1.4,0.856,27,0.48,0.9,"PF"
